,lema_verbo_web,classe_verbo_web,aspecto_lexical,papel_tematico,estrutura_sintatica,exemplo_verbo_web
712,Enojar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As mentiras dos políticos enojaram a população.
713,Enraivecer,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A pirraça do menino enraiveceu a mãe.
714,Enrascar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O interrogatório do policial enrascou a copeira./ O policial enrascou a copeira com o intuito de solucionar o inquérito do crime.
715,Enrijecer,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O nervosismo enrijeceu os músculos do atleta./ O fisioterapeuta enrijeceu os músculos do atleta para acelerar a recuperação.
716,Enriquecer 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O isolamento dos isótopos enriqueceu o urânio./ O físico enriqueceu o urânio a fim de realizar alguns experimentos.
717,Enriquecer 2,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O trabalho da mulher enriqueceu a família.
718,Enrolar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O cavaleiro enrolou a corda no tronco da árvore.
719,Enroscar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O pedreiro enroscou a porca (no parafuso).
720,Enrouquecer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O professor enrouqueceu.
721,Enrubescer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A mulher enrubesceu.
722,Enrugar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A umidade enrugou o tecido./ A costureira enrugou o tecido para fazer o vestido.
723,Enrugar 2,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O rosto da mulher enrugou.
724,Ensaboar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A mãe ensaboou o bebê.
725,Ensacar,Causação: verbos de mudança de lugar (ou verbos locativos),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O lavrador ensacou o feijão.
726,Ensanguentar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ferida aberta ensanguentou a roupa do ator./ O cenógrafo ensanguentou a roupa do ator para gravar a última cena do filme.
727,Ensebar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A gordura da cozinha ensebou o cabelo da cliente./ O cabeleireiro ensebou o cabelo da cliente intencionalmente.
728,Ensopar,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O vazamento ensopou o armário da pia (de água suja)./ O rapaz ensopou o armário da pia (com água suja).
729,Ensurdecer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O soldado ensurdeceu.
730,Entalhar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O Aleijadinho entalhou imagens de santos em muitos altares de Ouro preto.
731,Entediar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A música do jovem cantor entediou o auditório.
732,Entender,Culminação: verbos de mudança de estado mental,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Paciente/Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O aluno entendeu a matéria da prova.
733,Enternecer,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O beijo do menino enterneceu a mãe.
734,Enterrar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O cachorro enterrou o osso (no quintal).
735,Entontecer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O velho cavalo entonteceu.
736,Entortar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A queda da árvore entortou o portão./ O serralheiro entortou o portão propositalmente.
737,Entrar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),A água entrou com força na caixa d'água.
738,Entrelaçar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O balanço do caminhão entrelaçou os colares dentro da caixa./ A artesã entrelaçou os colares dentro da caixa para encaminhá-los ao cliente.
739,Entreter 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O espetáculo do palhaço entretinha os convidados.
740,Entreter 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A estória de suspense da professora entreteve a criançada./ A professora entreteve a criançada com o objetivo de manter o silêncio durante a aula.
741,Entrevar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os maus tratos do domador entrevaram o cavalo.
742,Entristecer,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A conversa do Rodolfo entristeceu o pai.
743,Entronizar,Causação: verbos de mudança de lugar (ou verbos locativos),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Japão entroniza formalmente seu imperador.
744,Entubar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O médico entubou o paciente.
745,Entulhar 1,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A forte chuva entulhou os bueiros de lixo./ A população entulhou os bueiros de lixo.
746,Entulhar 2,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O professor entulhou os livros na mesa.
747,Entupir,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),As fortes chuvas entupiram os bueiros da cidade com folhas de árvore./ As pessoas entupiram os bueiros da cidade com folhas de árvore.
748,Entusiasmar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ideia do prefeito entusiasmou o povo.
749,Envaidecer,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As façanhas do filho envaideceram o pai.
750,Envasilhar,Causação: verbos de mudança de lugar (ou verbos locativos),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O agricultor envasilhou o vinho.
751,Envelhecer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A mulher envelheceu.
752,Envelopar,Causação: verbos de mudança de lugar (ou verbos locativos),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A Cristina envelopou os convites de casamento.
753,Envenenar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O vazamento de gás tóxico envenenou a população./ O terrorista envenenou a população intencionalmente.
754,Envenenar 2,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A mulher envenenou a comida.
755,Enverdecer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O jardim enverdeceu.
756,Envergonhar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O mau comportamento do marido envergonhou a pobre mulher.
757,Envernizar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O marceneiro envernizou as madeiras da casa.
758,Envidraçar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O arquiteto envidraçou o jardim de inverno.
759,Enviuvar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A Joana enviuvou.
760,Enxaguar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira enxaguou as taças.
761,Enxugar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A garçonete enxugou a louça.
762,Equilibrar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O crescimento do país equilibrou a balança comercial./ O governo equilibrou a balança comercial a fim de fortalecer a economia.
763,Equipar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O dentista equipou o consultório novo.
764,Eriçar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ventania eriçou o cabelo do menino./ O cabeleireiro eriçou o cabelo do menino para fazer um penteado.
765,Esbagaçar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A queda esbagaçou o mamão./ A criança esbagaçou o mamão propositalmente.
766,Esbarrar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O menino esbarrou na mesa.
767,Esbofetear,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O policial esbofeteou o ladrão.
768,Esburacar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A passagem dos caminhões esburacou a estrada./ O operário esburacou a estrada para começar a obra.
769,Escaldar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira escaldou o polvilho.
770,Escancarar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ventania escancarou a janela./ O adolescente escancarou a janela para permitir a circulação do ar.
771,Escandalizar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os roubos do presidente escandalizaram o povo.
772,Escapar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),O leão escapou da jaula.
773,Escavar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O arqueólogo escavou o sítio arqueológico.
774,Esclarecer,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A explicação da mãe esclareceu o mal entendido./ A mãe esclareceu o mal entendido a fim de evitar que os irmãos brigassem.
775,Esclerosar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O tratamento inadequado do médico esclerosou a senhora.
776,Esconder,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A mulher escondeu os cabos da internet atrás do sofá.
777,Escorar 1,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A empregada escorou a vassoura (na porta).
778,Escorar 2,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pedreiro escorou a parede da casa.
779,Escoriar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A longa cavalgada escoriou o lombo da mula./ O vaqueiro escoriou o lombo da mula intencionalmente.
780,Escovar,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A Ana escovou o cachorro.
781,Escrever,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A professora escreveu o nome do livro (no quadro).
782,Esculpir,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O artesão esculpiu uma figura humana (no pedaço de madeira).
783,Escurecer,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O tingimento escureceu os cabelos da senhora./ O cabeleireiro escureceu os cabelos da senhora com a intenção de esconder os fios brancos.
784,Esfaquear,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O bandido esfaqueou a vítima.
785,Esfarelar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O peso da tampa esfarelou o bolo./ O menino birrento esfarelou o bolo propositalmente.
786,Esfarinhar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O movimento do monjolo esfarinhou todo o milho./ O empregado da fazenda esfarinhou todo o milho para produzir fubá.
787,Esfarrapar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A brincadeira esfarrapou as fantasias das crianças./ A costureira esfarrapou as fantasias das crianças com a intenção de reaproveitar o tecido.
788,Esfolar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O tombo esfolou o joelho do menino./ A irmã briguenta esfolou o joelho do menino para se vingar.
789,Esfregar 1,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A moça esfregou os olhos vigorosamente.
790,Esfregar 2,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A faxineira esfregou o chão.
791,Esfriar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A brisa gelada esfriou o chá./ A senhora inglesa esfriou o chá a fim de oferecê-lo aos netos.
792,Esfumar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A maquiadora esfumou os olhos da modelo.
793,Esgotar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O marketing perfeito do editor esgotou a primeira edição do livro.
794,Esmaltar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O carpinteiro esmaltou o móvel.
795,Esmigalhar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O peso da tampa esmigalhou o bolo./ O menino birrento esmigalhou o bolo propositalmente.
796,Esmorecer,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A covardia do general esmoreceu os soldados.
797,Esmurrar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O lutador esmurrou o adversário.
798,Espalhar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ventania espalhou os papéis./ O ladrão espalhou os papéis para encobrir a cena do crime.
799,Espanar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A faxineira espanou o piano.
800,Espancar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O lutador espancou o adversário violentamente.
801,Espantar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A quantidade de reclamação dos fiéis espantou o vigário.
802,Espatifar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O impacto da queda espatifou a xícara./ O menino travesso espatifou a xícara para espantar as visitas.
803,Espedaçar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O impacto da queda espedaçou o copo./ O menino travesso espedaçou o copo propositalmente.
804,Espernear,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A criança mimada esperneava sempre que os pais não faziam suas vontades.
805,Espirrar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O bebezinho espirrava sempre.
806,Espumar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O barbeiro espumou o rosto do freguês.
807,Esquentar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O calor da lareira esquentou a sala./ A anfitriã esquentou a sala com a intenção de deixar os convidados mais confortáveis.
808,Esquiar,Atividade: verbos internamente causados com instrumento incorporado,- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O atleta esquiou durante todo o inverno.
809,Estabilizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O conserto estabilizou as rodas do carro./ O mecânico estabilizou as rodas do carro a fim de garantir a segurança do veículo.
810,Estacionar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A Maria estacionou o Fiesta (no meio da rua).
811,Estadualizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ascensão das lideranças políticas na Paraíba estadualizou o hospital municipal./ O governo estadualizou o hospital municipal com a intenção de viabilizar o repasse de verbas.
812,Estagnar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A medida do governo estagnou a economia./ O governo estagnou a economia intencionalmente.
813,Estampar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O estilista estampou as flores vermelhas no tecido.
814,Estapear,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O policial estapeou o bandido.
815,Estarrecer,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A fala do Juruna estarreceu os congressistas.
